Costo Peajes,Bogota,Cali,Medellin,Barranquilla,Cartagena,Cucuta,Bucaramanga,Pereira,Santa Marta,Ibague,Pasto,Manizales,Neiva
Bogota,0,184100,99600,200800,252700,79700,83600,138100,156900,89400,210800,24100,110800
Cali,184100,0,171600,342300,368700,203308,158800,68400,227300,78500,39300,100700,24600
Medellin,99600,171600,0,180200,197100,124008,79500,95300,148000,127700,198200,78400,141100
Barranquilla,200800,342300,180200,0,40800,104685,120300,296700,43900,192700,378400,279800,242300
Cartagena,252700,368700,197100,40800,0,156585,172200,277000,95800,244600,398599,278700,294200
Cucuta,79700,203308,124008,104685,156585,0,41808,216608,60785,122108,319508,106408,171708
Bucaramanga,83600,158800,79500,120300,172200,41808,0,174800,76400,80300,277700,64600,129900
Pereira,138100,68400,95300,296700,277000,216608,174800,0,243300,32400,95000,32300,83000
Santa Marta,156900,227300,148000,43900,95800,60785,76400,243300,0,148800,346200,133100,198400
Ibague,89400,78500,127700,192700,244600,122108,80300,32400,148800,0,121400,81000,50600
Pasto,210800,39300,198200,378400,398599,319508,277700,95000,346200,121400,0,127300,38700
Manizales,24100,100700,78400,279800,278700,106408,64600,32300,133100,81000,127300,0,115300
Neiva,110800,24600,141100,242300,294200,171708,129900,83000,198400,50600,38700,115300,0
