Tiempo de conducción,Bogota,Cali,Medellin,Barranquilla,Cartagena,Cucuta,Bucaramanga,Pereira,Santa Marta,Ibague,Pasto,Manizales,Neiva
Bogota,0.0,6.45,5.75,12.066666666666666,13.566666666666666,7.3,5.083333333333333,4.7,11.5,2.65,11.033333333333333,4.3,3.8166666666666664
Cali,6.45,0.0,5.716666666666667,14.383333333333333,13.9,12.416666666666666,10.166666666666666,2.65,15.116666666666667,3.9,7.1,3.3333333333333335,6.416666666666667
Medellin,5.716666666666667,5.75,0.0,8.683333333333334,8.2,7.883333333333333,5.633333333333333,3.15,9.766666666666667,5.316666666666666,12.633333333333333,2.95,7.833333333333333
Barranquilla,12.033333333333333,14.25,8.533333333333333,0.0,1.8833333333333333,8.85,7.916666666666667,11.666666666666666,1.25,11.883333333333333,21.15,11.466666666666667,14.15
Cartagena,13.716666666666667,13.883333333333333,8.166666666666666,1.8333333333333335,0.0,10.516666666666667,9.6,11.283333333333333,3.066666666666667,13.45,20.766666666666666,11.083333333333334,15.833333333333334
Cucuta,7.233333333333333,12.433333333333334,7.716666666666667,8.85,10.383333333333333,0.0,2.283333333333333,9.833333333333334,8.283333333333333,8.616666666666667,18.116666666666667,9.133333333333333,10.9
Bucaramanga,5.016666666666667,10.2,5.5,7.933333333333334,9.483333333333333,2.3,0.0,7.6,7.366666666666666,6.4,15.883333333333333,6.9,8.666666666666666
Pereira,4.733333333333333,2.6666666666666665,3.15,11.833333333333334,11.333333333333334,9.866666666666667,7.616666666666667,0.0,12.55,2.183333333333333,9.55,0.7833333333333333,4.716666666666667
Santa Marta,11.466666666666667,15.116666666666667,9.616666666666667,1.2333333333333334,3.1,8.266666666666667,7.35,12.516666666666667,0.0,11.3,20.8,11.816666666666666,13.583333333333334
Ibague,2.6666666666666665,3.9166666666666665,5.3,11.883333333333333,13.383333333333333,8.616666666666667,6.366666666666666,2.1666666666666665,11.316666666666666,0.0,9.85,2.9166666666666665,2.6333333333333333
Pasto,11.033333333333333,7.083333333333333,12.616666666666667,21.283333333333335,20.8,18.1,15.85,9.533333333333333,20.783333333333335,9.85,0.0,10.233333333333333,7.183333333333334
Manizales,4.283333333333333,3.3666666666666667,2.95,11.616666666666667,11.133333333333333,9.15,6.9,0.7666666666666667,11.833333333333334,2.9166666666666665,10.25,0.0,5.45
Neiva,3.8833333333333333,6.416666666666667,7.883333333333333,14.2,15.7,10.933333333333334,8.683333333333334,4.75,13.633333333333333,2.7,7.25,5.5,0.0
